object			
volume	37020d_index	Littré-Robin (1865-1873)	1873
entry	Cineritious tubercle 	0	
orth	Cineritious tubercle	eng	
foreign	tubercule cendré (le)	fra	
entry	Cinnabar	0	
orth	Cinnabar	eng	
foreign	cinnabre	fra	
entry	Citric acid	0	
orth	Citric acid	eng	
foreign	acide citrique	fra	
pb	1769	1783	
entry	Citrine	0	
orth	Citrine	eng	
foreign	citrin	fra	
entry	Clap	0	
orth	Clap	eng	
foreign	blennorrhagie	fra	
entry	Class	0	
orth	Class	eng	
foreign	classe	fra	
entry	Clavicle	0	
orth	Clavicle	eng	
foreign	clavicule	fra	
entry	Cleavage	0	
orth	Cleavage	eng	
foreign	clivage	fra	
entry	Climacteric	0	
orth	Climacteric	eng	
foreign	climatérique	fra	
entry	Climate	0	
orth	Climate	eng	
foreign	climat	fra	
entry	Clinical	0	
orth	Clinical	eng	
foreign	clinique	fra	
entry	Clinoid	0	
orth	Clinoid	eng	
foreign	clinoïde	fra	
entry	Clonic	0	
orth	Clonic	eng	
foreign	clonique	fra	
entry	Club-foot	0	
orth	Club-foot	eng	
foreign	pied bot	fra	
entry	Glypeate	0	
orth	Glypeate	eng	
foreign	scutiforme	fra	
entry	Cœliac	0	
orth	Cœliac	eng	
foreign	cœliaque	fra	
entry	Coffee	0	
orth	Coffee	eng	
foreign	café	fra	
entry	Cold	0	
orth	Cold	eng	
foreign	froid	fra	
entry	Colic	0	
orth	Colic	eng	
foreign	colique	fra	
entry	Collapse	0	
orth	Collapse	eng	
foreign	collapsus	fra	
entry	Collar bone	0	
orth	Collar bone	eng	
foreign	clavicule	fra	
entry	Colliquative	0	
orth	Colliquative	eng	
foreign	colliquatif	fra	
entry	Colloid	0	
orth	Colloid	eng	
foreign	colloïde	fra	
entry	Colophony	0	
orth	Colophony	eng	
foreign	colophane	fra	
entry	Coloring matters	0	
orth	Coloring matters	eng	
foreign	matières colorantes	fra	
entry	Comminuted	0	
orth	Comminuted	eng	
entry	Comparative anatomy	0	
orth	Comparative anatomy	eng	
foreign	anatomie comparée	fra	
entry	Compound	0	
orth	Compound	eng	
foreign	composé	fra	
entry	Compress	0	
orth	Compress	eng	
foreign	compresse	fra	
entry	Compressibility	0	
orth	Compressibility	eng	
foreign	compressibilité	fra	
entry	Concussion	0	
orth	Concussion	eng	
foreign	commotion	fra	
entry	Condyloid	0	
orth	Condyloid	eng	
foreign	condyloïde	fra	
entry	Congestive fever	0	
orth	Congestive fever	eng	
entry	Conglobate	0	
orth	Conglobate	eng	
foreign	conglobé	fra	
entry	Conglomerate	0	
orth	Conglomerate	eng	
foreign	congloméré	fra	
entry	Consumption	0	
orth	Consumption	eng	
foreign	consomption	fra	
entry	Contagious	0	
orth	Contagious	eng	
foreign	contagieux	fra	
entry	Continued fever	0	
orth	Continued fever	eng	
foreign	fièvre continue	fra	
entry	Continuity	0	
orth	Continuity	eng	
foreign	continuité	fra	
entry	Contorted	0	
orth	Contorted	eng	
foreign	contourné	fra	
entry	Contractility	0	
orth	Contractility	eng	
foreign	contractilité	fra	
entry	Contra-fissure	0	
orth	Contra-fissure	eng	
foreign	contre-fissure	fra	
entry	Contra-indication 	0	
orth	Contra-indication	eng	
foreign	contre-indication	fra	
entry	Convulsive	0	
orth	Convulsive	eng	
foreign	convulsif	fra	
entry	Convulsives	0	
orth	Convulsives	eng	
entry	Copper	0	
orth	Copper	eng	
foreign	cuivre	fra	
entry	Copperas	0	
orth	Copperas	eng	
foreign	sulfate de cuivre	fra	
entry	Copper nose	0	
orth	Copper nose	eng	
foreign	acme rosea	fra	
entry	Coracoid	0	
orth	Coracoid	eng	
foreign	coracoïde	fra	
entry	Cord (umbilical)	0	
orth	Cord (umbilical)	eng	
foreign	cordon ombilical	fra	
entry	Cork	0	
orth	Cork	eng	
foreign	liège	fra	
entry	Corneous	0	
orth	Corneous	eng	
foreign	corné	fra	
entry	Corniculate	0	
orth	Corniculate	eng	
entry	Coronary	0	
orth	Coronary	eng	
foreign	coronaire	fra	
entry	Coronoid	0	
orth	Coronoid	eng	
foreign	coronoïde	fra	
entry	Corpulency	0	
orth	Corpulency	eng	
foreign	corpulence	fra	
entry	Corpuscle	0	
orth	Corpuscle	eng	
foreign	corpuscule	fra	
entry	Corrigent	0	
orth	Corrigent	eng	
foreign	correctif	fra	
entry	Corrosive	0	
orth	Corrosive	eng	
foreign	corrosif	fra	
entry	Corsican moss	0	
orth	Corsican moss	eng	
foreign	mousse de Corse	fra	
entry	Cosmetic	0	
orth	Cosmetic	eng	
foreign	cosmétique	fra	
entry	Costiveness	0	
orth	Costiveness	eng	
foreign	constipation	fra	
entry	Cotton	0	
orth	Cotton	eng	
foreign	coton	fra	
entry	Couching	0	
orth	Couching	eng	
entry	Cough	0	
orth	Cough	eng	
foreign	toux	fra	
entry	Counter-extension	0	
orth	Counter-extension	eng	
foreign	contre-extension	fra	
entry	Counter-irritation 	0	
orth	Counter-irritation	eng	
foreign	contre-irritation	fra	
entry	Counter-opening	0	
orth	Counter-opening	eng	
foreign	contre-ouverture	fra	
entry	Courses	0	
orth	Courses	eng	
foreign	règles (les)	fra	
entry	Cowpox	0	
orth	Cowpox	eng	
foreign	vaccin	fra	
entry	Crab-yaws	0	
orth	Crab-yaws	eng	
entry	Cramp	0	
orth	Cramp	eng	
foreign	crampe	fra	
entry	Cranioscopy	0	
orth	Cranioscopy	eng	
