object			
volume	37020d	Littré-Robin (1865-1873)	1873
foreign	μαιείτρια	grc	
entry	Accouplement	0	
orth	Accouplement		
foreign	copulatio	lat	
foreign	Paarung	deu	
foreign	Begattung	deu	
foreign	coupling	eng	
foreign	copritura	ita	
foreign	monta	ita	
foreign	συνδυασμὸς	grc	
clique	Monte		
entry	Accoutumance	1	
orth	Accoutumance		
term	Accoutumance à un médicament		
clique	Accoutumance à un médicament		
pb	0013	0027	
entry	Accrémentitiel	0	
orth	Accrémentitiel		
term	Génération accrémentitielle		
clique	Génération accrémentitielle		
entry	Accrémentition	0	
orth	Accrémentition		
foreign	Auswuchs	deu	
term	Génération par accrémentition		
clique	Génération par accrémentition | Blastème		
entry	Accrescent	0	
orth	Accrescent		
foreign	accrescens	lat	
entry	Accrétion	0	
orth	Accrétion		
foreign	accretio	lat	
entry	Accroissement	0	
orth	Accroissement		
foreign	accretio	lat	
foreign	incrementum	lat	
foreign	Wachsthum	deu	
foreign	accretion	eng	
foreign	accrescimento	ita	
foreign	αὔξησις	grc	
clique	Accrémentition		
clique	Augment		
term	Accroissement par intussusception		
clique	Accroissement par intussusception | Développement		
term	Accroissement par juxtaposition		
clique	Accroissement par juxtaposition		
term	Loi d’accroissement		
clique	Loi d’accroissement | Végétalité		
entry	Acculement	0	
orth	Acculement		
entry	Acculer	0	
orth	Acculer		
term	Acculer un cheval		
clique	Acculer un cheval		
entry	Acculer	0	
orth	Acculer		
entry	Acedia	0	
orth	Acedia		
clique	Mélancolie		
entry	Acéphale	0	
orth	Acéphale		
foreign	acephalus	lat	
foreign	kopflos	deu	
foreign	acefalo	ita	
foreign	acefalo	spa	
clique	Acépiialien		
entry	Acéphalénie	0	
orth	Acéphalénie		
entry	Acéphalie	0	
orth	Acéphalie		
clique	Anencéphalie		
