object			
volume	00152	De Gorris index (1601)	1601
entry	Cadus	0	
orth	Cadus	lat	
foreign	ἀμφορεύς	grc	
foreign	κεράμιον	grc	
foreign	μετρητής	grc	
entry	Calamenthum	0	
orth	Calamenthum	lat	
foreign	καλαμίνθη	grc	
entry	Calamintha	0	
orth	Calamintha	lat	
foreign	καλαμίνθη	grc	
entry	Calamus odoratus	0	
orth	Calamus odoratus	lat	
foreign	κάλαμος ἀρωματικός	grc	
entry	Calamus vnguentarius	0	
orth	Calamus vnguentarius	lat	
foreign	κάλαμος ἀρωματικός	grc	
entry	Calcatrepa	0	
orth	Calcatrepa	lat	
foreign	ἄκανος	grc	
entry	Calculi morbus	0	
orth	Calculi morbus	lat	
foreign	λιθίασις	grc	
entry	Calculus	0	
orth	Calculus	lat	
foreign	στίον	grc	
entry	Calidum	0	
orth	Calidum	lat	
foreign	θερμόν	grc	
entry	Caligo oculi	0	
orth	Caligo oculi	lat	
foreign	ἀχλύς	grc	
entry	Callositas palpebrae	0	
orth	Callositas palpebrae	lat	
foreign	τύλωσις	grc	
entry	Callosum	0	
orth	Callosum	lat	
foreign	τυλοειδές	grc	
entry	Callus	0	
orth	Callus	lat	
foreign	πῶρος	grc	
entry	Caluaria	0	
orth	Caluaria	lat	
foreign	κρανίον	grc	
entry	Caluariae fractura	0	
orth	Caluariae fractura	lat	
foreign	ἐγγίσωμα	grc	
entry	Caluitium	0	
orth	Caluitium	lat	
foreign	φαλακρότης	grc	
entry	Calx	0	
orth	Calx	lat	
foreign	ἄσβεστος	grc	
foreign	κονία	grc	
foreign	πτέρνη	grc	
entry	Camelina	0	
orth	Camelina	lat	
foreign	μελάμπυρον	grc	
entry	Camomilla	0	
orth	Camomilla	lat	
foreign	ἀνθεμίς	grc	
entry	Camphora	0	
orth	Camphora	lat	
foreign	κάφουρα	grc	
entry	Canalis	0	
orth	Canalis	lat	
foreign	σωλήν	grc	
entry	Cancer	0	
orth	Cancer	lat	
foreign	καρκίνος	grc	
foreign	καρκίνωμα	grc	
entry	Cania vrtica	0	
orth	Cania vrtica	lat	
foreign	ἀκαλήφη	grc	
entry	Caniculae sydus	0	
