object			
volume	07399	Castelli	1746
orth	Algerie		
entry	Algeroth	0	
orth	Algeroth		
entry	Algos	0	
orth	Algos		
entry	Aliani	0	
orth	Aliani		
entry	Alica	1	
orth	Alica		
pb	0032	0040	
entry	Alices	0	
orth	Alices		
entry	Alicornu	0	
orth	Alicornu		
entry	Alienatio	0	
orth	Alienatio		
entry	Alienum	0	
orth	Alienum		
entry	Aliforhis	0	
orth	Aliforhis		
entry	Aligulus	0	
orth	Aligulus		
entry	Alima	0	
orth	Alima		
entry	Alimentum	0	
orth	Alimentum		
entry	Alindesis	0	
orth	Alindesis		
entry	Alinthisar	0	
orth	Alinthisar		
entry	Aliocab	0	
orth	Aliocab		
entry	Alipaenos	0	
orth	Alipaenos		
entry	Alipili	0	
orth	Alipili		
entry	Alipta	0	
orth	Alipta		
entry	Alisteles	0	
orth	Alisteles		
entry	Alitura	0	
orth	Alitura		
entry	Alkaes	0	
orth	Alkaes		
entry	Alkafial	0	
orth	Alkafial		
entry	Alkahest	1	
orth	Alkahest		
pb	0033	0041	
entry	Alkale	0	
orth	Alkale		
entry	Alkali	0	
orth	Alkali		
entry	Alkali	0	
orth	Alkali		
entry	Alkalid	0	
orth	Alkalid		
entry	Alkant	0	
orth	Alkant		
entry	Alkantum	0	
orth	Alkantum		
entry	Alkanzi	0	
orth	Alkanzi		
entry	Alkara	0	
orth	Alkara		
entry	Alkaranum	0	
orth	Alkaranum		
entry	Alkasa	0	
orth	Alkasa		
entry	Alkermes	0	
orth	Alkermes		
ref	Confectio.		
entry	Alkian	0	
orth	Alkian		
entry	Alkibric	0	
orth	Alkibric		
entry	Alkin	0	
orth	Alkin		
entry	Alkin	0	
orth	Alkin		
entry	Alkitram	0	
orth	Alkitram		
entry	Alkoel	0	
orth	Alkoel		
entry	Alkol	0	
orth	Alkol		
entry	Alkosor	0	
orth	Alkosor		
entry	Alky	0	
orth	Alky		
entry	Alkimia	0	
orth	Alkimia		
entry	Allabrot	0	
orth	Allabrot		
pb	0034	0042	
entry	Allantoides	0	
orth	Allantoides		
entry	Alliaraeris	0	
orth	Alliaraeris		
entry	Alligatura	0	
orth	Alligatura		
entry	Allochoos	0	
orth	Allochoos		
entry	Allochroeo	0	
orth	Allochroeo		
entry	Allodemia	0	
orth	Allodemia		
entry	Alloeosis	0	
orth	Alloeosis		
ref	Alterasto & Alterantia.		
entry	Alloeotropeo	0	
orth	Alloeotropeo		
entry	Allognoeo	0	
orth	Allognoeo		
entry	Alma	0	
orth	Alma		
entry	Aimabri	0	
orth	Aimabri		
entry	Almager	0	
orth	Almager		
entry	Almagra	0	
orth	Almagra		
entry	Almakanda	0	
orth	Almakanda		
entry	Almarcat	0	
orth	Almarcat		
entry	Almargen	0	
orth	Almargen		
entry	Almariae	0	
orth	Almariae		
entry	Almarkasita	0	
orth	Almarkasita		
entry	Almartak	0	
orth	Almartak		
entry	Almatatica	0	
orth	Almatatica		
entry	Almechasite	0	
orth	Almechasite		
entry	Almelfletu	0	
orth	Almelfletu		
entry	Almene	0	
orth	Almene		
entry	Almetat	0	
orth	Almetat		
entry	Almisadir	0	
orth	Almisadir		
entry	Almizadie	0	
orth	Almizadie		
entry	Alnec	0	
orth	Alnec		
entry	Aloe	0	
orth	Aloe		
entry	Aloedarium	0	
orth	Aloedarium		
entry	Alofel	0	
orth	Alofel		
entry	Alogar	0	
orth	Alogar		
entry	Alogotrophia	0	
orth	Alogotrophia		
entry	Alopecia	1	
orth	Alopecia		
pb	0035	0043	
entry	Alopex	0	
orth	Alopex		
entry	Alos	0	
orth	Alos		
entry	Alosa	0	
orth	Alosa		
entry	Alphesera	0	
orth	Alphesera		
entry	Alphitidon	0	
orth	Alphitidon		
entry	Alphiton	0	
orth	Alphiton		
entry	Alphus	0	
orth	Alphus		
entry	Aleamuti	0	
orth	Aleamuti		
entry	Alratica	0	
orth	Alratica		
entry	Alsamach	0	
orth	Alsamach		
entry	Alsech	0	
orth	Alsech		
entry	Alselat	0	
orth	Alselat		
entry	Alsiracostum	0	
orth	Alsiracostum		
entry	Alsus	0	
orth	Alsus		
entry	Altambus	0	
orth	Altambus		
entry	Altanus	0	
orth	Altanus		
entry	Altaris	0	
orth	Altaris		
entry	Alterans	0	
orth	Alterans		
entry	Alteratio	1	
orth	Alteratio		
pb	0036	0044	
entry	Altey	0	
orth	Altey		
entry	Althaenomae	0	
orth	Althaenomae		
entry	Althanacha	0	
orth	Althanacha		
entry	Althexis	0	
orth	Althexis		
entry	Altimar	0	
orth	Altimar		
entry	Altimio	0	
orth	Altimio		
entry	Altincar	0	
orth	Altincar		
entry	Altingat	0	
orth	Altingat		
